date,state,deaths_pneumonia_2019,deaths_pneumonia_2020,deaths_covid19,deaths_respiratory_failure_2019,deaths_respiratory_failure_2020,epidemiological_week_2020,new_deaths_pneumonia_2020,new_deaths_covid19,new_deaths_respiratory_failure_2020
2020-04-28,AP,152,74,2,113,78,18,1,0,1
2020-04-28,BA,1821,1584,45,2695,2210,18,7,5,6
2020-04-28,CE,2461,2296,481,1716,1753,18,10,22,11
2020-04-28,DF,951,1008,52,528,609,18,5,1,8
2020-04-28,ES,1498,1392,75,805,778,18,3,3,4
2020-04-28,GO,1955,1879,73,1568,1596,18,7,4,8
2020-04-28,MA,692,647,136,698,744,18,12,7,14
2020-04-28,MG,6183,5779,143,5291,4822,18,0,0,0
2020-04-28,MS,983,933,5,675,682,18,2,0,1
2020-04-28,MT,273,267,7,284,199,18,0,0,1
2020-04-28,PA,660,562,41,650,661,18,3,3,3
2020-04-28,PB,1419,1206,32,1277,1092,18,3,0,4
2020-04-28,PE,2461,2438,287,2403,2366,18,14,17,6
2020-04-28,PI,745,484,5,1015,588,18,0,0,1
2020-04-28,PR,3225,3347,132,2293,2174,18,23,8,18
2020-04-28,RJ,6996,8062,1839,4395,5346,18,122,124,101
2020-04-28,RN,1031,842,19,559,517,18,2,0,0
2020-04-28,RO,330,358,18,315,282,18,4,2,2
2020-04-28,RR,108,117,2,57,68,18,0,0,1
2020-04-28,RS,3982,3879,56,3372,3306,18,21,1,18
2020-04-28,SC,2007,1835,48,1640,1412,18,4,1,3
2020-04-28,SE,518,539,6,492,442,18,0,0,0
2020-04-28,SP,21414,20507,2678,14191,15014,18,43,31,38
2020-04-28,TO,183,250,2,167,209,18,1,1,2
2020-04-27,AC,281,252,10,141,117,18,2,2,1
2020-04-27,AL,743,635,24,727,621,18,3,0,3
2020-04-27,AM,549,1007,313,277,709,18,36,29,28
2020-04-27,AP,151,73,2,113,77,18,1,0,1
2020-04-27,BA,1802,1577,40,2676,2204,18,7,3,5
2020-04-27,CE,2435,2286,459,1696,1742,18,7,17,9
2020-04-27,DF,938,1003,51,526,601,18,6,1,7
2020-04-27,ES,1485,1389,72,801,774,18,8,8,4
2020-04-27,GO,1938,1872,69,1555,1588,18,3,1,14
2020-04-27,MA,686,635,129,694,730,18,15,14,19
2020-04-27,MG,6124,5779,143,5237,4822,18,0,0,0
2020-04-27,MS,975,931,5,670,681,18,1,0,3
2020-04-27,MT,270,267,7,281,198,18,0,0,1
2020-04-27,PA,653,559,38,648,658,18,5,2,3
2020-04-27,PB,1403,1203,32,1264,1088,18,4,1,5
2020-04-27,PE,2433,2424,270,2382,2360,18,16,18,16
2020-04-27,PI,736,484,5,1005,587,18,1,0,0
2020-04-27,PR,3199,3324,124,2265,2156,18,11,9,12
2020-04-27,RJ,6915,7940,1715,4352,5245,18,108,115,89
2020-04-27,RN,1019,840,19,553,517,18,0,0,0
2020-04-27,RO,329,354,16,315,280,18,2,3,8
2020-04-27,RR,107,117,2,54,67,18,0,0,0
2020-04-27,RS,3960,3858,55,3346,3288,18,21,2,14
2020-04-27,SC,1987,1831,47,1621,1409,18,5,0,6
2020-04-27,SE,517,539,6,488,442,18,0,0,0
2020-04-27,SP,21194,20464,2647,14048,14976,18,65,44,76
2020-04-27,TO,181,249,1,163,207,18,1,0,0
2020-04-26,AC,280,250,8,140,116,18,1,1,0
2020-04-26,AL,739,632,24,719,618,18,4,2,4
2020-04-26,AM,545,971,284,275,681,18,24,20,24
2020-04-26,AP,151,72,2,113,76,18,0,0,0
2020-04-26,BA,1784,1570,37,2659,2199,18,7,1,11
2020-04-26,CE,2400,2279,442,1681,1733,18,12,14,14
2020-04-26,DF,925,997,50,518,594,18,7,1,6
2020-04-26,ES,1477,1381,64,796,770,18,9,7,6
2020-04-26,GO,1923,1869,68,1542,1574,18,8,0,10
2020-04-26,MA,673,620,115,687,711,18,7,10,10
2020-04-26,MG,6066,5779,143,5179,4822,18,0,0,1
2020-04-26,MS,968,930,5,662,678,18,1,0,2
2020-04-26,MT,270,267,7,278,197,18,2,0,2
2020-04-26,PA,648,554,36,644,655,18,5,5,3
2020-04-26,PB,1387,1199,31,1253,1083,18,8,0,5
2020-04-26,PE,2412,2408,252,2360,2344,18,17,30,9
2020-04-26,PI,726,483,5,996,587,18,0,0,0
2020-04-26,PR,3164,3313,115,2243,2144,18,14,4,12
2020-04-26,RJ,6847,7832,1600,4316,5156,18,111,118,87
2020-04-26,RN,1006,840,19,549,517,18,1,0,0
2020-04-26,RO,326,352,13,308,272,18,4,0,1
2020-04-26,RR,107,117,2,54,67,18,0,0,0
2020-04-26,RS,3925,3837,53,3321,3274,18,25,5,25
2020-04-26,SC,1966,1826,47,1611,1403,18,7,0,7
2020-04-26,SE,512,539,6,484,442,18,0,0,0
2020-04-26,SP,20995,20399,2603,13906,14900,18,85,68,88
2020-04-26,TO,177,248,1,162,207,18,0,0,1
2020-04-25,AC,280,249,7,140,116,17,0,0,1
2020-04-25,AL,733,628,22,710,614,17,6,3,5
2020-04-25,AM,538,947,264,270,657,17,32,23,31
2020-04-25,AP,150,72,2,110,76,17,2,0,0
2020-04-25,BA,1773,1563,36,2646,2188,17,11,1,12
2020-04-25,CE,2378,2267,428,1661,1719,17,12,23,13
2020-04-25,DF,913,990,49,513,588,17,2,2,5
2020-04-25,ES,1463,1372,57,784,764,17,6,7,3
2020-04-25,GO,1907,1861,68,1529,1564,17,6,0,7
2020-04-25,MA,663,613,105,680,701,17,15,6,14
2020-04-25,MG,6013,5779,143,5134,4821,17,0,0,0
2020-04-25,MS,955,929,5,657,676,17,0,0,0
2020-04-25,MT,267,265,7,273,195,17,3,0,2
2020-04-25,PA,643,549,31,640,652,17,2,2,2
2020-04-25,PB,1375,1191,31,1246,1078,17,4,0,5
2020-04-25,PE,2392,2391,222,2346,2335,17,24,23,20
2020-04-25,PI,722,483,5,989,587,17,0,0,1
2020-04-25,PR,3140,3299,111,2221,2132,17,27,9,20
2020-04-25,RJ,6775,7721,1482,4283,5069,17,130,130,108
2020-04-25,RN,990,839,19,546,517,17,3,1,0
2020-04-25,RO,320,348,13,305,271,17,2,1,3
2020-04-25,RR,103,117,2,52,67,17,2,0,1
2020-04-25,RS,3890,3812,48,3287,3249,17,23,1,25
2020-04-25,SC,1946,1819,47,1593,1396,17,6,0,9
2020-04-25,SE,507,539,6,480,442,17,0,0,0
2020-04-25,SP,20800,20314,2535,13782,14812,17,84,69,110
2020-04-25,TO,175,248,1,160,206,17,0,0,0
2020-04-24,AC,279,249,7,140,115,17,1,0,1
2020-04-24,AL,724,622,19,703,609,17,2,1,4
2020-04-24,AM,533,915,241,267,626,17,23,19,38
2020-04-24,AP,149,70,2,109,76,17,0,0,0
2020-04-24,BA,1762,1552,35,2620,2176,17,7,4,14
2020-04-24,CE,2339,2255,405,1645,1706,17,6,25,16
2020-04-24,DF,904,988,47,505,583,17,2,1,2
2020-04-24,ES,1448,1366,50,777,761,17,8,3,8
2020-04-24,GO,1882,1855,68,1506,1557,17,10,5,3
2020-04-24,MA,656,598,99,673,687,17,12,11,16
2020-04-24,MG,5953,5779,143,5086,4821,17,2,1,6
2020-04-24,MS,945,929,5,649,676,17,1,0,0
2020-04-24,MT,263,262,7,271,193,17,0,1,1
2020-04-24,PA,642,547,29,636,650,17,3,0,3
2020-04-24,PB,1366,1187,31,1239,1073,17,3,1,4
2020-04-24,PE,2364,2367,199,2321,2315,17,15,20,12
2020-04-24,PI,716,483,5,981,586,17,0,0,0
2020-04-24,PR,3115,3272,102,2209,2112,17,20,10,11
2020-04-24,RJ,6699,7591,1352,4238,4961,17,132,101,92
2020-04-24,RN,981,836,18,536,517,17,4,0,1
2020-04-24,RO,316,346,12,298,268,17,2,0,0
2020-04-24,RR,101,115,2,51,66,17,0,0,1
2020-04-24,RS,3856,3789,47,3263,3224,17,32,1,25
2020-04-24,SC,1932,1813,47,1583,1387,17,12,3,11
2020-04-24,SE,500,539,6,479,442,17,5,0,2
2020-04-24,SP,20603,20230,2466,13663,14702,17,116,88,126
